alpha_p, beta_p, d, k0, k1, nlabel, ntrace, nchain, nskip, Ntrain, Ntest, Nfold, a, supervised, unsupervised, supervised_1, supervised_2, supervised_3, supervised_4, supervised_5, unsupervised_1, unsupervised_2, unsupervised_3, unsupervised_4, unsupervised_5
1,1,100,2,5,18,1000,2,2,500,100,5,33.641225124717685,0.24,0.03,0.19,0.32,0.28,0.33,0.23,0.05,0.04,0.06,0.06,0.06
1,1,100,2,5,20,1000,2,2,500,100,5,6.5748821492588725,0.05,0.06,0.04,0.01,0.08,0.03,0.07,0.03,0.03,0.05,0.03,0.02
1,1,100,2,5,20,1000,2,2,500,100,5,10.723216988874542,0.3,0.05,0.37,0.32,0.36,0.36,0.3,0.01,0.05,0.07,0.03,0.08
1,1,100,2,5,22,1000,2,2,500,100,5,1.6770501449025894,0.05,0.06,0.06,0.01,0.01,0.03,0.05,0.06,0.03,0.06,0.03,0.0
1,1,100,2,5,22,1000,2,2,500,100,5,4.075643964192686,0.08,0.05,0.07,0.14,0.11,0.06,0.06,0.05,0.03,0.04,0.01,0.06
1,1,100,2,5,24,1000,2,2,500,100,5,9.320324873229735,0.76,0.04,0.73,0.74,0.6,0.7,0.65,0.03,0.02,0.01,0.02,0.02
1,1,100,2,5,26,1000,2,2,500,100,5,8.834972344217256,0.14,0.05,0.11,0.19,0.25,0.22,0.17,0.06,0.05,0.06,0.09,0.05
1,1,100,2,5,26,1000,2,2,500,100,5,11.443614249157381,0.63,0.03,0.61,0.62,0.73,0.62,0.67,0.06,0.09,0.03,0.01,0.05
1,1,100,2,5,28,1000,2,2,500,100,5,0.25907399685128224,0.45,0.01,0.38,0.37,0.39,0.38,0.46,0.1,0.06,0.07,0.03,0.06
1,1,100,2,5,28,1000,2,2,500,100,5,3.2558215534626473,0.12,0.03,0.09,0.07,0.09,0.05,0.08,0.0,0.05,0.07,0.03,0.05
1,1,100,2,5,30,1000,2,2,500,100,5,5.5257473495829394,0.17,0.06,0.23,0.28,0.27,0.27,0.31,0.06,0.05,0.03,0.03,0.03
1,1,100,2,5,30,1000,2,2,500,100,5,65.6146518200177,0.34,0.03,0.3,0.25,0.31,0.3,0.27,0.04,0.06,0.07,0.08,0.03
1,1,100,2,5,32,1000,2,2,500,100,5,4.1998313707635795,0.06,0.01,0.03,0.05,0.06,0.05,0.02,0.04,0.08,0.1,0.06,0.03
1,1,100,2,5,32,1000,2,2,500,100,5,17.370662889835142,0.08,0.04,0.06,0.11,0.02,0.08,0.06,0.07,0.09,0.04,0.03,0.07
1,1,100,2,5,34,1000,2,2,500,100,5,6.0479470227901295,0.28,0.01,0.23,0.32,0.24,0.22,0.27,0.04,0.01,0.02,0.03,0.05
1,1,100,2,5,34,1000,2,2,500,100,5,7.4885093035279,0.12,0.02,0.1,0.08,0.1,0.05,0.07,0.03,0.02,0.02,0.04,0.01
1,1,100,2,5,36,1000,2,2,500,100,5,5.470028740230096,0.04,0.05,0.04,0.01,0.05,0.05,0.04,0.03,0.03,0.05,0.01,0.03
1,1,100,2,5,36,1000,2,2,500,100,5,35.08258059794569,0.84,0.02,0.8,0.8,0.79,0.73,0.76,0.08,0.06,0.07,0.03,0.05
1,1,100,2,5,38,1000,2,2,500,100,5,6.857136894131076,0.53,0.0,0.39,0.39,0.34,0.51,0.56,0.05,0.01,0.06,0.03,0.04
