mu_Mu, sigma2_Mu, alpha_Lambda, beta_Lambda, d, k0, k1, nlabel, ntrace, nchain, nskip, Ntrain, Ntest, Nfold, a, supervised, unsupervised, supervised_1, supervised_2, supervised_3, supervised_4, supervised_5, unsupervised_1, unsupervised_2, unsupervised_3, unsupervised_4, unsupervised_5
0,5,2,4,100,5,10,10,1000,2,2,500,100,5,2.5886978603722954,0.82,0.43,0.72,0.85,0.79,0.83,0.75,0.34,0.37,0.49,0.28,0.36
0,5,2,4,100,10,2,2,1000,2,2,500,100,5,1.6486945391554477,1.0,0.97,1.0,1.0,1.0,0.98,1.0,0.99,0.99,1.0,1.0,1.0
0,5,2,4,100,10,2,6,1000,2,2,500,100,5,8.43763623318914,1.0,0.97,1.0,1.0,1.0,1.0,1.0,0.93,0.95,0.96,0.95,0.99
0,5,2,4,100,10,5,2,1000,2,2,500,100,5,2.1016010317440603,0.99,0.95,0.97,0.97,0.98,0.99,1.0,0.93,0.96,0.96,0.98,0.93
0,5,2,4,100,10,5,2,1000,2,2,500,100,5,5.392346041050963,1.0,1.0,1.0,1.0,1.0,0.97,1.0,0.98,0.99,0.98,0.99,1.0
0,5,2,4,100,10,5,4,1000,2,2,500,100,5,1.0809448745417787,0.93,0.89,0.88,0.94,0.92,0.86,0.9,0.8,0.8,0.84,0.84,0.79
0,5,2,4,100,10,5,8,1000,2,2,500,100,5,0.7541569790053377,0.87,0.27,0.8,0.83,0.86,0.83,0.84,0.19,0.26,0.11,0.15,0.14
0,5,2,4,100,10,10,2,1000,2,2,500,100,5,3.359245701596762,0.96,0.91,0.97,0.95,0.97,0.97,0.89,0.83,0.89,0.86,0.94,0.92
0,5,2,4,100,10,10,2,1000,2,2,500,100,5,9.749373505832402,0.95,0.9,0.97,1.0,0.97,0.99,0.96,0.92,0.94,0.91,0.95,0.91
0,5,2,4,100,10,10,4,1000,2,2,500,100,5,11.52189544493281,0.97,0.95,0.94,0.98,0.95,1.0,0.98,0.92,0.94,0.83,0.94,0.97
0,5,2,4,100,10,10,4,1000,2,2,500,100,5,1.6200106204329854,0.91,0.82,0.96,0.87,0.93,0.86,0.91,0.88,0.77,0.78,0.74,0.82
0,5,2,4,100,10,10,6,1000,2,2,500,100,5,6.428237656867957,1.0,0.72,0.97,0.97,0.98,0.97,0.98,0.43,0.15,0.52,0.75,0.61
0,5,2,4,100,10,10,6,1000,2,2,500,100,5,5.255411024989728,0.95,0.53,0.9,0.94,0.91,0.94,0.92,0.43,0.49,0.36,0.2,0.19
